Date,Close,High,Low,Open,Volume
01-01-2004,10783.61035,11193.63965,10665.15039,10787.83008,1436200000
01-02-2004,11041.91992,11069.28027,10299.42969,10784.92969,1282100000
01-03-2004,11715.38965,11869,11045.94043,11112.67969,2429300000
01-04-2004,11761.79004,12195.66016,11623.65039,11756.16016,2430200000
01-05-2004,11236.37012,11785.25977,10489.83984,11777.44043,1696200000
01-06-2004,11858.87012,11887.9502,10963.55957,11204.69043,1704500000
01-07-2004,11325.78027,11988.12012,11018.79004,11933.33008,1373300000
01-08-2004,11081.79004,11279.70996,10545.88965,11274.4502,1481800000
01-09-2004,10823.57031,11357.84961,10737.78027,11104.84961,1666700000
01-10-2004,10771.41992,11410.40039,10575.23047,10893.19043,1588400000
01-11-2004,10899.25,11268.80957,10690.9502,10731.01953,1400600000
01-12-2004,11488.75977,11500.9502,10721.58984,10790.4502,1437800000
01-01-2005,11387.58984,11580.69043,11212.62988,11458.26953,1616200000
01-02-2005,11740.59961,11754.90039,11271.04004,11422.01953,1665700000
01-03-2005,11668.9502,11975.45996,11506.84961,11734.13965,2032200000
01-04-2005,11008.90039,11911.90039,10770.58008,11590.4502,1675000000
01-05-2005,11276.58984,11302.51953,10788.58984,10954.20996,1446100000
01-06-2005,11584.00977,11594.57031,11148.36035,11220.94043,1617600000
01-07-2005,11899.59961,11913.5,11540.92969,11573.37012,1432300000
01-08-2005,12413.59961,12612.16016,11614.70996,11907.41992,2344500000
01-09-2005,13574.2998,13678.44043,12498.40039,12501.42969,3272000000
01-10-2005,13606.5,13783.59961,12996.29004,13566.2002,3283900000
01-11-2005,14872.15039,15013.24023,13706.33008,13718.20996,3468100000
01-12-2005,16111.42969,16445.56055,14880.17969,14914.75,3239400000
01-01-2006,16649.82031,16754.59961,15059.51953,16294.65039,2680600000
01-02-2006,16205.42969,16777.36914,15389.58008,16594.90039,2767300000
01-03-2006,17059.66016,17125.64063,15553.13965,16026.82031,2389600000
01-04-2006,16906.23047,17563.36914,16750.5,17127.60938,2145500000
01-05-2006,15467.33008,17375.25,15442.53027,16929.83008,2337600000
01-06-2006,15505.17969,15789.30957,14045.53027,15603.25,2526300000
01-07-2006,15456.80957,15710.38965,14437.24023,15573.34961,2085700000
01-08-2006,16140.75977,16244.83984,15154.05957,15387.51953,2278400000
01-09-2006,16127.58008,16414.93945,15513.87012,16072.80957,2062500000
01-10-2006,16399.39063,16901.5293,16028.32031,16169,2207200000
01-11-2006,16274.33008,16512.50977,15615.55957,16338.71973,2143600000
01-12-2006,17225.83008,17301.68945,16185.91992,16313.01953,2415700000
01-01-2007,17383.41992,17617.64063,16758.46094,17322.5,2668700000
01-02-2007,17604.11914,18300.39063,17199.66016,17377.0293,3256500000
01-03-2007,17287.65039,17558.03906,16532.91016,17542.23047,3402500000
01-04-2007,17400.41016,17782.08008,16999.05078,17346.25,2597500000
01-05-2007,17875.75,17875.75,17203.0293,17396.30078,2759200000
01-06-2007,18138.35938,18297,17591.92969,17949.91992,2726700000
01-07-2007,17248.89063,18295.26953,17042.66016,18139.03906,2635500000
01-08-2007,16569.08984,17274.33008,15262.09961,17169.19922,3199300000
01-09-2007,16785.68945,16929.25977,15610.65039,16511.07031,2068700000
01-10-2007,16737.63086,17488.9707,16199.01953,16773.09961,2633300000
01-11-2007,15680.66992,16887.03906,14669.84961,16812.90039,3089900000
01-12-2007,15307.78027,16107.65039,14998.00977,15747.46973,2330800000
01-01-2008,13592.46973,15156.66016,12572.67969,15155.73047,3114100000
01-02-2008,13603.01953,14105.46973,12923.41992,13517.74023,2916400000
01-03-2008,12525.54004,13413.62988,11691,13412.87012,2821400000
01-04-2008,13849.99023,14003.28027,12521.83984,12539.7998,2572700000
01-05-2008,14338.54004,14392.53027,13540.67969,13802.58984,2699700000
01-06-2008,13481.37988,14601.26953,13453.34961,14342.95996,2825900000
01-07-2008,13376.80957,13603.30957,12671.33984,13514.86035,2658600000
01-08-2008,13072.87012,13468.80957,12631.94043,13276.57031,2443300000
01-09-2008,11259.86035,12940.5498,11160.83008,12936.80957,2905700000
01-10-2008,8576.980469,11456.63965,6994.899902,11396.61035,4267300000
01-11-2008,8512.269531,9521.240234,7406.180176,8702.769531,2850200000
01-12-2008,8859.55957,8859.55957,7849.839844,8464.360352,2663800000
01-01-2009,7994.049805,9325.349609,7671.040039,8991.209961,2655200000
01-02-2009,7568.419922,8257.709961,7155.160156,7908.509766,2809500000
